,0
g_{0},-5.507146487918
g_{1},-4.410713400259
g_{2},-5.068037890789
"p_{0,0}",-9.9567232171
"p_{0,1}",-10.610090658074
"p_{0,2}",-15.503341066544
"p_{0,3}",-15.508425330795
"p_{0,4}",-16.128609198765
"p_{0,5}",-16.158981535138
"p_{0,6}",-20.579879740328
"p_{0,7}",-20.587440367011
"p_{0,8}",-20.561159227778
"p_{0,9}",-20.576041686298
"p_{0,10}",-15.027542912526
"p_{0,11}",-14.371880144928
"p_{0,12}",-21.223199224726
"p_{0,13}",-21.240656263305
"p_{0,14}",-15.689834901404
"p_{0,15}",-10.625184418186
"p_{0,16}",-20.589500551344
"p_{0,17}",-21.248865430073
"p_{0,18}",-21.671488814229
"p_{0,19}",-21.699457189079
"p_{0,20}",-26.750738044419
"p_{0,21}",-26.764490930819
"p_{0,22}",-26.766718116801
"p_{0,23}",-26.774044758738
"p_{0,24}",-26.786526861438
"p_{0,25}",-26.758035410645
"p_{0,26}",-21.232511258911
"p_{0,27}",-16.164895671258
"p_{0,28}",-26.792636394228
"p_{0,29}",-26.774909287871
"p_{0,30}",-26.790979964671
"p_{0,31}",-15.395088225414
"p_{0,32}",-16.030045824879
"p_{0,33}",-16.042840475348
"p_{0,34}",-20.571033052812
"p_{0,35}",-20.574926130152
"p_{0,36}",-21.214965419041
"p_{0,37}",0.0
"p_{0,38}",-21.229904850509
"p_{0,39}",-31.838608717394
"p_{0,40}",-31.840096516001
"p_{0,41}",-26.784928120943
"p_{0,42}",-31.855643085597
"p_{0,43}",-31.863506679087
"p_{0,44}",-26.802808495898
"p_{0,45}",-26.789737662398
"p_{0,46}",-31.854860676819
"p_{0,47}",-31.859391098646
"p_{0,48}",-25.653083509142
"p_{0,49}",-25.650634164381
"p_{0,50}",-25.652991615184
"p_{0,51}",-31.844050941333
"p_{0,52}",-31.851819825517
"p_{0,53}",-31.868538047033
"p_{0,54}",-26.311685586759
"p_{0,55}",-31.858381842585
"p_{0,56}",-31.869292176245
"p_{0,57}",-26.311816016374
"p_{0,58}",-31.868277483555
"p_{0,59}",-16.170114224382
"p_{0,60}",-16.799648261847
"p_{0,61}",-16.816492136927
"p_{0,62}",-11.264322536579
"p_{0,63}",-16.826872409221
